concept_display_name,count
Artificial intelligence,18241529
Machine learning,9191451
Data science,1745018
Margin (machine learning),86356
Boosting (machine learning),39327
Active learning (machine learning),27110
Anticipation (artificial intelligence),23107
Applications of artificial intelligence,4008
Semantic analysis (machine learning),3588
Online machine learning,1679
Quantum machine learning,1341
Marketing and artificial intelligence,1271
Adversarial machine learning,1248
Artificial Intelligence System,1089
"Artificial intelligence, situated approach",742
Music and artificial intelligence,392
Symbolic artificial intelligence,177
