year,cite,id,display_name,inst_id,inst_display_name,country_code
2012,23356,https://openalex.org/A2638532457,Francisco Caudet Roca,,,
2013,28333,https://openalex.org/A2308537848,Hyun-Sook Kim,https://openalex.org/I28615091,Kyonggi University,KR
2014,31575,https://openalex.org/A2176779198,A.Hamari Choudhic,,,
2015,34842,https://openalex.org/A2185089162,Е В Куканова,,,
2016,38163,https://openalex.org/A2237383675,Olivia Milburn,,,
2017,43922,https://openalex.org/A2308537848,Hyun-Sook Kim,https://openalex.org/I28615091,Kyonggi University,KR
2018,44884,https://openalex.org/A2308537848,Hyun-Sook Kim,https://openalex.org/I28615091,Kyonggi University,KR
2019,56291,https://openalex.org/A2308537848,Hyun-Sook Kim,https://openalex.org/I28615091,Kyonggi University,KR
2020,54010,https://openalex.org/A2308537848,Hyun-Sook Kim,https://openalex.org/I28615091,Kyonggi University,KR
2021,68131,https://openalex.org/A2308537848,Hyun-Sook Kim,https://openalex.org/I28615091,Kyonggi University,KR
2022,49502,https://openalex.org/A2308537848,Hyun-Sook Kim,https://openalex.org/I28615091,Kyonggi University,KR
