year,Max Work,id,display_name,inst_id,inst_display_name,country_code
2012,524,https://openalex.org/A2638532457,Francisco Caudet Roca,,,
2013,576,https://openalex.org/A2308537848,Hyun-Sook Kim,https://openalex.org/I28615091,Kyonggi University,KR
2014,640,https://openalex.org/A2176779198,A.Hamari Choudhic,,,
2015,678,https://openalex.org/A2185089162,Е В Куканова,,,
2016,719,https://openalex.org/A2237383675,Olivia Milburn,,,
2017,843,https://openalex.org/A2308537848,Hyun-Sook Kim,https://openalex.org/I28615091,Kyonggi University,KR
2018,991,https://openalex.org/A2308537848,Hyun-Sook Kim,https://openalex.org/I28615091,Kyonggi University,KR
2019,1136,https://openalex.org/A2308537848,Hyun-Sook Kim,https://openalex.org/I28615091,Kyonggi University,KR
2020,1226,https://openalex.org/A2308537848,Hyun-Sook Kim,https://openalex.org/I28615091,Kyonggi University,KR
2021,1343,https://openalex.org/A2308537848,Hyun-Sook Kim,https://openalex.org/I28615091,Kyonggi University,KR
2022,617,https://openalex.org/A2308537848,Hyun-Sook Kim,https://openalex.org/I28615091,Kyonggi University,KR
