id,display_name,works_count,cited_by_count,display_name,country_code
https://openalex.org/A2557216553,Eric S. Lander,866,592203,Broad Institute,US
https://openalex.org/A1937107987,Douglas G. Altman,1212,527944,Nuffield Orthopaedic Centre,GB
https://openalex.org/A2777773917,Xin Li,10830,427095,Center for Excellence in Tibetan Plateau Earth Sciences,CN
https://openalex.org/A1793908362,Walter C. Willett,2656,423318,Harvard University,US
https://openalex.org/A204361474,David Moher,957,414185,Ottawa Hospital Research Institute,CA
https://openalex.org/A2113800519,Zhong Lin Wang,2904,386372,University of Chinese Academy of Sciences,CN
https://openalex.org/A1360065292,Guido Kroemer,1730,379556,Institut Universitaire de France,FR
https://openalex.org/A581716687,Ahmedin Jemal,586,369945,American Cancer Society,US
https://openalex.org/A2426470670,Mark J. Daly,972,366078,Massachusetts General Hospital,US
https://openalex.org/A2012626572,Michael Grätzel,1873,346443,École Polytechnique Fédérale de Lausanne,CH
https://openalex.org/A2159013505,Rob Knight,1191,326907,University of California System,US
https://openalex.org/A2256777311,Feng Zhang,2517,319254,Massachusetts Institute of Technology,US
https://openalex.org/A161269817,Yoshua Bengio,1068,298998,University of Montreal,CA
https://openalex.org/A679456835,Bert Vogelstein,703,297358,Johns Hopkins University,US
https://openalex.org/A2149472920,Shizuo Akira,1362,293674,Osaka University,JP
https://openalex.org/A2157138196,Ronald C. Kessler,1526,291474,Harvard University,US
https://openalex.org/A1904680277,Steven L. Salzberg,495,290710,Johns Hopkins University,US
https://openalex.org/A2100354044,Yi Cui,1033,284094,SLAC National Accelerator Laboratory,US
https://openalex.org/A2080932746,Robert Langer,2339,282977,Massachusetts Institute of Technology,US
https://openalex.org/A2251992767,Albert Hofman,2729,282218,Harvard University,US
https://openalex.org/A1664523425,Meir J. Stampfer,1565,279266,Harvard University,US
https://openalex.org/A2104358674,Frank B. Hu,2034,277807,Harvard University,US
https://openalex.org/A2264929133,Oliver H. Lowry,235,274928,Washington University in St. Louis,US
https://openalex.org/A563069026,Geoffrey E. Hinton,408,265415,Google,US
https://openalex.org/A1822150783,Matthew Meyerson,692,263407,Dana-Farber Cancer Institute,US
https://openalex.org/A2331008296,Stacey Gabriel,431,262394,Broad Institute,US
https://openalex.org/A2316804223,Christopher J L Murray,838,261781,Institute for Health Metrics and Evaluation,US
https://openalex.org/A723345511,John P. Perdew,496,257307,Temple University,US
https://openalex.org/A2299437103,Lei Zhang,8690,256384,South China University of Technology,CN
https://openalex.org/A2904515684,Rose J. Randall,1,253210,Washington University in St. Louis,US
https://openalex.org/A2162505138,Rebecca L. Siegel,155,253150,American Cancer Society,US
https://openalex.org/A57053632,Robert Tibshirani,626,253086,Stanford University,US
https://openalex.org/A2000000806,A. Lewis Farr,2,252531,Washington University in St. Louis,US
https://openalex.org/A2585669862,Wei Chen,7344,249813,Southern University of Science and Technology,CN
https://openalex.org/A2974985266,Nira J. Rosebrough,1,249537,Washington University in St. Louis,US
https://openalex.org/A2067218961,Graham A. Colditz,1938,246451,Jewish Hospital,US
https://openalex.org/A2157439592,Freddie Bray,454,245298,International Agency For Research On Cancer,FR
https://openalex.org/A1234242328,George M. Whitesides,1613,245063,Harvard University,US
https://openalex.org/A2296726285,Yang Yang,6521,244432,Purple Mountain Laboratories,CN
https://openalex.org/A2166990755,JoAnn E. Manson,2102,242930,Brigham and Women's Hospital,US
https://openalex.org/A2068107358,Peer Bork,737,242505,European Bioinformatics Institute,GB
https://openalex.org/A2160087672,Gad Getz,639,241619,Broad Institute,US
https://openalex.org/A1982559328,Georg Kresse,449,240377,University of Vienna,AT
https://openalex.org/A317508920,Daniel Kahneman,307,238354,Princeton University,US
https://openalex.org/A2077177608,Andre K. Geim,501,238233,University of Manchester,GB
https://openalex.org/A2017532309,Kostya S. Novoselov,568,237013,National University of Singapore,SG
https://openalex.org/A258089896,Ulrich K. Laemmli,90,236963,University of Geneva,CH
https://openalex.org/A2168326394,George Davey Smith,3278,235186,University of Bristol,GB
https://openalex.org/A2244066162,Wei Wang,10808,233482,Tongji University,CN
https://openalex.org/A2148720131,Salim Yusuf,1629,230990,Hamilton Health Sciences,CA
https://openalex.org/A1979746700,Panos M. Pardalos,12006,229613,University of Florida,US
https://openalex.org/A2302581886,Masatoshi Nei,306,228072,Temple University,US
https://openalex.org/A705222334,Jaakko Tuomilehto,1735,227161,Institute for Molecular Medicine Finland,FI
https://openalex.org/A1985333902,Eugene Braunwald,1906,225978,Brigham and Women's Hospital,US
https://openalex.org/A2153479088,Ralph B. D'Agostino,1426,225801,Wake Forest Baptist Medical Center,US
https://openalex.org/A2510348074,Michael John Owen,1714,223860,Cardiff University,GB
https://openalex.org/A2149898553,Sudhir Kumar,901,223607,King Abdulaziz University,SA
https://openalex.org/A2779760225,Richard K. Wilson,552,222527,Nationwide Children's Hospital,US
https://openalex.org/A2136386296,Matthias Mann,1025,222087,Max Planck Institute of Biochemistry,DE
https://openalex.org/A2240993880,Jing Wang,7044,220360,Chinese Academy of Meteorological Sciences,CN
https://openalex.org/A2111153991,Richard A. Gibbs,992,219975,Baylor College of Medicine,US
https://openalex.org/A1978711759,Jacques Ferlay,175,217400,International Agency For Research On Cancer,FR
https://openalex.org/A2128434403,Alan D. Lopez,917,216870,University of Washington,US
https://openalex.org/A2472878971,David Altshuler,369,216478,University of Michigan–Ann Arbor,US
https://openalex.org/A2146654601,Robert A. Weinberg,490,216187,Massachusetts Institute of Technology,US
https://openalex.org/A1389051172,Paul M. Ridker,1375,210662,Brigham and Women's Hospital,US
https://openalex.org/A2100348804,Ben Zhong Tang,2956,208984,Hong Kong University of Science and Technology,CN
https://openalex.org/A2198902714,Michael Karin,716,208264,"University of California, San Diego",US
https://openalex.org/A727612727,Andrei Shleifer,591,208107,Harvard University,US
https://openalex.org/A2012874334,Daniel Levy,1285,206057,Los Angeles Biomedical Research Institute,US
https://openalex.org/A2140769477,Cyrus Cooper,2840,205229,University Hospital Southampton NHS Foundation Trust,GB
https://openalex.org/A2238409327,Chris Sander,782,204780,Harvard University,US
https://openalex.org/A2097265366,John P. A. Ioannidis,1407,203519,Stanford University,US
https://openalex.org/A1915162981,Richard Peto,809,203214,Clinical Trial Service Unit,GB
https://openalex.org/A2132296772,Matthias Egger,1045,203061,Institute of Social and Preventive Medicine,CH
https://openalex.org/A2113779959,Sidney C. Smith,538,201213,University of North Carolina at Chapel Hill,US
https://openalex.org/A2305243664,Gonçalo R. Abecasis,669,200968,Regeneron,US
https://openalex.org/A2168721218,Emelia J. Benjamin,1004,200545,Framingham Heart Study,US
https://openalex.org/A1893730172,Aviv Regev,732,200369,Broad Institute,US
https://openalex.org/A694676656,Elaine R. Mardis,612,200350,The Research Institute at Nationwide Children's Hospital,US
