concept_display_name,count
Biology,108445918
Medicine,88931640
Physics,79918019
Computer science,76473491
Chemistry,74571209
Engineering,60820487
Mathematics,56073388
Internal medicine,50379137
Philosophy,47651939
Psychology,47513412
Genetics,46252472
Quantum mechanics,44851160
Biochemistry,43147091
Geography,42647260
Geology,40706815
Organic chemistry,40105443
Materials science,38493378
Political science,37282983
Pathology,34047563
Art,31922379
Economics,31492596
Law,28700455
Ecology,28157255
History,26516609
Surgery,24360659
Thermodynamics,23922726
Sociology,23523580
Paleontology,23217970
Composite material,22511729
Business,20913566
Archaeology,20455902
Endocrinology,20411549
Statistics,19888882
Psychiatry,19790232
Optics,19235987
Programming language,18467101
Artificial intelligence,18241529
Operating system,17792708
Immunology,17352820
Environmental science,16868857
Humanities,16833129
Metallurgy,16625753
Gene,16458342
Linguistics,16100321
Electrical engineering,15957960
Radiology,15053833
Botany,14801806
Mechanical engineering,14641790
Geometry,13769445
Neuroscience,12507086
Epistemology,11313846
Telecommunications,11080953
Anatomy,10896808
Astronomy,10380132
Nuclear magnetic resonance,9920538
Cell biology,9415100
Management,9384089
Physical chemistry,9239706
Machine learning,9191451
Nuclear physics,9114631
Chemical engineering,8885300
Aerospace engineering,8657980
Meteorology,8553404
Oceanography,8350952
Nanotechnology,8230911
Chromatography,8204916
Algorithm,7628019
Mathematical analysis,7606334
Acoustics,7335964
Cancer,7148729
Cardiology,7116771
Disease,7104999
Pharmacology,6972947
Computer vision,6954635
Economic growth,6927123
Social psychology,6863298
World Wide Web,6836532
Population,6830666
Agronomy,6669919
Environmental health,6645536
Optoelectronics,6599717
Structural engineering,6581078
Anesthesia,6347617
Computer network,6265570
Finance,6254459
Demography,6050057
Virology,6005110
Nursing,5982761
Horticulture,5788387
Marketing,5693534
Enzyme,5646978
Visual arts,5615490
Microbiology,5614681
Psychotherapist,5488177
Food science,5377041
Mechanics,5260814
Gastroenterology,5246930
Computer security,5164698
Receptor,4988095
Literature,4832146
