country_code,cited_by_count
US,2760534327
GB,546549085
CN,546012577
DE,422354369
JP,343572460
FR,295478704
IT,261280067
CA,247032040
AU,192372326
NL,156918595
ES,153813997
CH,140681133
IN,110000970
KR,104637044
SE,97561003
BR,83943446
BE,76734453
DK,58600879
TW,56232592
IL,54871907
RU,52941870
FI,48377791
AT,44112516
NO,39316383
PL,37544833
TR,33761983
SG,31193456
IR,30956480
GR,27867076
PT,25984306
IE,24830010
CZ,24612999
ZA,24608710
NZ,23341115
MX,23129362
MY,17886391
AR,15968965
HU,15930135
SA,12784798
PK,12765343
TH,11905101
CL,11521836
EG,10478161
SK,7182719
RO,6993087
CO,6150211
RS,6045640
SI,5766469
MA,5751055
PH,4995454
NG,4978442
HR,4858694
ET,4721697
UA,4562252
BD,4360686
BG,4339873
AE,4230254
EE,4222365
ID,3873508
KE,3558689
IS,3434724
VN,3204326
QA,3200780
TN,3139373
GE,2584135
UG,2564456
CY,2466197
LB,2306667
LU,2205549
LT,2113434
JO,2001206
GH,1943084
PE,1721144
BY,1708997
AM,1626679
HK,1569391
VE,1538469
UY,1537009
LK,1514752
DZ,1441892
TZ,1376540
KW,1297233
YE,1260200
LV,1213861
EC,1187277
NP,1147740
CM,1124946
KH,1053701
PA,1052114
IQ,1030986
CU,966583
MD,960305
CR,892162
OM,875613
BH,875248
PS,825945
KZ,745165
JM,743265
LA,678795
ZW,662741
SD,618914
BJ,613789
ZM,506661
MW,496653
PR,488310
UZ,481859
VG,464290
SN,423291
ML,414151
MT,406423
AZ,398829
MK,377558
AG,359535
BO,350907
BF,350814
BW,347632
MZ,341631
SY,341173
ME,322192
BA,318523
BI,299380
BN,295784
NE,295607
RE,284380
CD,268463
CI,267331
RW,230328
BB,228572
PG,225861
MU,217313
GT,211001
SS,208829
GA,204916
MN,201779
TJ,190180
MG,186862
MM,179505
AL,177885
FJ,167749
GM,166368
DO,164653
GP,157846
KN,157813
GW,154385
TT,154215
CG,145884
PY,141601
CW,140303
LY,132309
NC,122885
NA,121740
SJ,114824
GD,105981
BM,100420
PF,98691
GF,94046
MC,90254
KG,89928
NI,87181
GN,86821
XK,81843
TG,79821
HN,75554
FO,73801
SL,72121
LI,67627
ST,67241
MQ,66300
GL,63907
AO,60067
SV,55129
BZ,49121
KP,48388
HT,39857
MV,39571
BS,33154
SZ,31474
LR,30401
AF,29478
LS,20497
CF,18849
SR,18187
SC,17607
TD,14412
GY,13635
BT,13317
MR,13086
SM,12799
VU,11949
ER,11866
MS,11226
JE,11039
SX,11003
WS,9305
PW,8674
SO,8401
KY,8031
GI,7885
LC,7356
CV,6626
AW,6286
TM,6015
FK,4857
TL,4835
FM,4400
AX,4330
VA,3205
MO,3169
TO,2453
AD,2249
VI,1948
DJ,1937
IM,1756
GQ,1284
VC,1215
MH,1115
DM,508
KI,301
TC,216
SB,119
TV,95
NU,32
CK,6
BQ,5
