country_code,cited_by_count
US,2296945
CN,689224
GB,461874
DE,392718
JP,377419
FR,273215
CA,229333
IT,211076
AU,151956
ES,149821
IN,146400
NL,138684
KR,124189
BR,113768
CH,107041
SE,86569
TW,70744
BE,64891
RU,54713
TR,52682
IL,49761
DK,47950
PL,47818
FI,43923
IR,43012
AT,40533
NO,34799
GR,29478
MX,29454
SG,29034
CZ,27656
PT,26242
ZA,24837
IE,24093
MY,23045
NZ,22574
AR,22394
EG,17542
HU,17081
TH,16972
PK,15842
CL,13543
SA,13494
RO,10646
SK,9366
RS,8478
MA,8186
NG,8038
CO,7949
HR,6902
SI,6802
UA,6481
ID,6388
PH,6328
BD,5887
TN,5672
BG,5174
KE,4600
VN,4596
ET,4201
EE,4006
AE,3984
UG,3262
JO,3210
LT,3040
LB,2928
DZ,2825
QA,2781
GH,2760
VE,2495
GE,2164
LK,2141
LU,2127
CY,2117
IS,2104
PE,2092
UY,1990
TZ,1977
KW,1923
BY,1840
LV,1770
NP,1674
CU,1661
CM,1605
AM,1570
IQ,1519
HK,1509
EC,1314
OM,1208
CR,1099
BH,1053
JM,1006
ZW,1002
MD,941
LA,936
PS,902
KH,873
KZ,854
BJ,835
SD,792
PR,769
VG,759
SN,759
PA,757
YE,710
MW,692
AG,685
ZM,665
UZ,612
MK,583
BF,571
SY,557
BA,549
MT,547
ML,544
BO,511
BW,494
CI,445
AZ,420
MZ,404
RE,373
MN,360
CD,360
PG,346
BB,346
MU,340
RW,330
GT,322
AL,301
MG,301
BN,299
GA,296
NE,294
ME,280
MM,263
LY,252
PY,228
FJ,228
GP,227
TT,218
CW,213
NA,205
GM,203
SS,199
CG,195
TJ,180
BI,174
GW,159
NC,155
XK,152
GD,152
PF,135
ST,132
KN,128
NI,128
MC,125
DO,125
GN,122
HN,120
TG,120
LI,107
GF,106
AO,102
MQ,87
KP,79
BM,78
SJ,75
SL,73
SV,72
BZ,68
KG,68
LS,66
GL,63
SZ,58
AF,57
FO,56
HT,55
BS,48
CF,45
MV,42
LR,38
SC,34
SR,33
ER,29
MR,27
MS,26
JE,24
BT,22
SO,21
PW,21
GY,21
SM,19
TD,18
KY,16
WS,16
TM,15
GI,13
CV,12
FK,11
MO,9
SX,9
VU,9
AX,9
FM,7
VI,6
LC,6
AD,5
TO,5
VA,4
AW,4
GQ,4
TL,4
DJ,4
VC,4
IM,3
MH,2
TC,1
DM,1
