country_code,works_count
US,731916
CN,213425
JP,197310
GB,165218
DE,148326
IT,124376
FR,122106
BR,93717
ES,88333
IN,81162
CA,76984
AU,69352
KR,66894
NL,50271
RU,45827
TR,45793
PL,41286
CH,37179
SE,35124
BE,33242
ID,29502
IR,28810
TW,21890
DK,21192
MX,20299
FI,19574
AT,19259
PT,18576
IL,18069
CZ,17653
MY,17366
NO,16171
GR,15145
AR,14458
ZA,11958
HU,10425
HR,10347
IE,10148
NZ,9804
PK,9789
SG,9778
EG,9691
RO,9485
TH,8230
CL,8058
SA,7941
RS,7626
CO,7566
UA,7154
NG,6498
SK,5553
TN,4823
MA,4381
SI,4068
BG,3799
BD,3788
LT,3069
AE,2546
KE,2401
VN,2267
PH,2230
EE,2198
JO,1981
DZ,1901
CU,1852
ET,1834
VE,1794
PE,1732
GH,1711
LV,1550
LB,1530
QA,1486
CY,1452
LU,1447
LK,1425
UY,1306
IQ,1282
BY,1277
EC,1180
NP,1162
CR,1114
UG,1076
GE,1048
AG,989
IS,976
KW,900
AM,884
CM,819
TZ,817
KZ,812
BA,774
OM,734
MK,716
SN,699
MD,609
HK,559
BJ,551
BH,527
ZW,522
KH,481
PS,478
UZ,477
YE,464
MT,435
JM,432
SD,352
AZ,322
PA,322
BF,315
CI,289
ZM,282
BW,273
VG,271
BO,263
RE,255
ME,247
ML,247
MZ,238
MW,227
SY,219
PY,216
PR,212
AL,211
XK,207
LA,189
TG,187
BN,186
TJ,157
FJ,155
RW,150
TT,150
MM,144
MN,144
NE,138
CD,135
CG,132
MU,121
GP,120
MG,119
GT,116
NA,105
BI,94
DO,92
BB,84
PG,79
HN,79
LY,71
AO,69
GA,68
GF,67
NC,65
KG,64
NI,64
KN,64
SV,62
GN,59
GD,57
PF,56
GM,52
SS,52
MC,49
CW,48
LI,45
SJ,41
ST,39
MQ,38
FO,34
KP,33
BS,32
BM,29
AF,29
SZ,28
GL,26
MV,26
SL,25
GW,25
LS,18
BZ,17
LR,16
HT,16
SM,12
BT,12
SR,12
CF,10
KY,9
SC,8
TM,8
PW,8
TD,7
MO,6
MR,6
GY,6
TO,5
MS,5
WS,5
GI,5
TL,5
CV,4
AW,4
SX,4
FK,4
VU,4
ER,4
JE,4
VA,3
VI,3
FM,3
VC,3
LC,2
AX,2
SO,1
SB,1
