country_code,works_count
US,88292422
CN,37819472
JP,22613138
GB,20019552
DE,18510745
FR,13950906
IT,13778888
BR,10402356
IN,9950381
CA,9196288
ES,9044609
AU,7950187
KR,7609807
NL,5858864
RU,5849443
CH,4692907
BE,3930775
PL,3867997
SE,3667958
TR,3661180
IR,3252972
ID,3240245
TW,3208759
DK,2383232
MX,2363999
AT,2120888
IL,2027684
FI,2012812
PT,1901330
CZ,1851146
MY,1810818
GR,1626959
NO,1613752
AR,1373310
ZA,1341642
SG,1237205
IE,1154024
EG,1152068
PK,1132546
HU,1102351
CO,1060596
NZ,1041061
UA,952244
TH,905937
CL,895602
RO,876453
SA,864377
HR,858990
NG,746276
RS,625595
SK,576892
TN,494607
MA,494195
BD,473846
SI,397387
BG,396455
PH,305361
VN,295480
PE,282484
LT,277208
ET,268316
AE,266708
CU,261757
DZ,249559
KE,245035
VE,239328
EC,237096
EE,210004
IQ,189734
QA,185560
JO,180638
GH,174456
BY,173374
LK,168067
LB,167956
NP,155750
CY,151285
CR,151178
LV,150447
LU,146547
UY,136127
KZ,125604
GE,124194
UG,120142
AM,108085
CM,104575
KW,96583
UZ,93857
IS,92886
TZ,85799
OM,79941
MD,78917
AG,74846
BA,74006
HK,73945
MK,66427
SN,64955
BH,63792
ZW,61646
KH,60103
SD,55231
BJ,55190
VG,53764
YE,53512
AZ,52603
PS,51404
MZ,44694
CI,44362
PA,44131
JM,44034
BO,41674
MT,39539
SY,35305
BF,34703
ZM,33778
PY,33056
AL,31007
BW,27987
LA,27766
PR,27538
MW,25756
ME,25653
ML,24706
MN,23940
CD,23645
TJ,23410
MM,22298
XK,22279
RE,21221
BN,21032
GT,19410
TG,18742
RW,18706
LY,17507
NE,17056
MG,16346
HN,15747
SV,15576
FJ,15377
CG,15316
TT,15276
DO,14741
MU,14660
NI,13465
BI,13357
BB,12998
GP,12149
PG,11749
NA,11249
AO,10664
GA,10650
KG,10236
KN,10066
GD,8589
SS,8234
GN,7075
CW,6837
GF,6697
KP,6491
GM,6217
NC,6175
ST,6033
AF,5597
MC,5226
MQ,5155
LI,5114
PF,5023
SJ,4712
SL,3872
GW,3767
SZ,3585
GL,3505
FO,3243
MV,2788
BZ,2746
BM,2653
BS,2501
LS,2391
BT,2328
HT,2318
LR,1733
MR,1723
CF,1612
SR,1592
TD,1543
TM,1470
GY,1421
SO,1189
ER,1055
CV,1037
SC,1033
JE,911
SM,890
WS,889
KY,887
VU,763
MO,682
PW,682
SX,661
MS,593
TL,567
GI,530
TO,471
AD,344
FK,337
VI,337
LC,334
AW,305
VA,299
FM,288
DJ,255
IM,251
AX,247
VC,212
MH,106
KI,93
GQ,80
DM,74
SB,39
NU,35
TC,21
TV,13
CK,2
BQ,1
