concept_display_name,count
Coronavirus disease 2019 (COVID-19),1797144
Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),754280
Pandemic,729701
Interface (matter),397064
Single-nucleotide polymorphism,391256
Transcriptome,333266
Repressor,250120
DNA methylation,246480
Alpha (finance),241818
Promoter,238327
Translation (biology),213716
Operator (biology),203766
Family planning,184556
Arabidopsis,181244
Placenta,174714
Antiretroviral therapy,171380
Haplotype,164764
Coronavirus,163294
Polymorphism (computer science),160784
Oncogene,152816
