concept_display_name,count
Coronavirus disease 2019 (COVID-19),1797144
Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),754280
Pandemic,729701
2019-20 coronavirus outbreak,578447
Coronary artery disease,320837
Percutaneous coronary intervention,202467
Coronary heart disease,168920
Coronavirus,163294
Coronary angiography,112760
Acute coronary syndrome,104593
Betacoronavirus,71532
Coronal plane,68182
Coronary arteries,57169
Coronal mass ejection,50855
Corona (planetary geology),46197
Coronavirus Infections,44762
Right coronary artery,28979
Coronary sinus,27862
Coronary artery bypass surgery,27303
Coronary atherosclerosis,19110
